Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
488.0,Nerlens Noel,28.0,2TM,C,17.0,4.0,11.5,0.8,2.1,0.361,0.1,0.1,0.5,0.7,2.0,0.353,0.375,0.5,0.7,0.667,0.6,2.1,2.7,0.6,0.9,0.6,0.8,1.9,2.1,
488.0,Nerlens Noel,28.0,DET,C,14.0,3.0,10.9,0.9,2.1,0.4,0.1,0.1,0.5,0.8,2.0,0.393,0.417,0.5,0.7,0.7,0.5,2.1,2.6,0.5,0.9,0.6,0.6,1.8,2.3,
488.0,Nerlens Noel,28.0,BRK,C,3.0,1.0,14.3,0.3,2.0,0.167,0.0,0.0,,0.3,2.0,0.167,0.167,0.3,0.7,0.5,1.0,2.0,3.0,1.0,1.0,0.3,1.7,2.3,1.0,
489.0,Davon Reed,27.0,2TM,SG,43.0,1.0,8.0,0.7,2.0,0.333,0.4,1.1,0.37,0.3,0.9,0.289,0.435,0.4,0.6,0.667,0.2,1.1,1.4,0.5,0.3,0.1,0.5,0.9,2.1,
489.0,Davon Reed,27.0,DEN,SG,35.0,1.0,9.0,0.7,2.3,0.313,0.5,1.3,0.364,0.3,1.0,0.25,0.413,0.4,0.6,0.75,0.3,1.3,1.6,0.5,0.4,0.1,0.6,1.0,2.3,
489.0,Davon Reed,27.0,LAL,SG,8.0,0.0,3.4,0.4,0.5,0.75,0.1,0.3,0.5,0.3,0.3,1.0,0.875,0.1,0.5,0.25,0.1,0.4,0.5,0.5,0.3,0.0,0.0,0.4,1.0,
490.0,Andre Iguodala,39.0,GSW,PF,8.0,0.0,14.1,0.9,1.9,0.467,0.1,1.1,0.111,0.8,0.8,1.0,0.5,0.3,0.4,0.667,0.4,1.8,2.1,2.4,0.5,0.4,1.1,1.4,2.1,
491.0,Chris Silva,26.0,DAL,PF,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,
492.0,Garrett Temple,36.0,NOP,SG,25.0,0.0,6.5,0.7,1.8,0.4,0.4,1.0,0.423,0.3,0.8,0.368,0.522,0.1,0.2,0.75,0.2,0.5,0.7,0.5,0.4,0.1,0.2,0.6,2.0,
493.0,Stanley Umude,23.0,DET,SG,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,
494.0,Donovan Williams,21.0,ATL,SG,2.0,0.0,2.0,1.0,2.5,0.4,0.0,1.0,0.0,1.0,1.5,0.667,0.4,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,
495.0,Vince Williams Jr.,22.0,MEM,SG,15.0,1.0,7.0,0.8,2.7,0.3,0.3,1.9,0.143,0.5,0.8,0.667,0.35,0.1,0.1,1.0,0.3,0.7,1.0,0.3,0.4,0.1,0.3,0.8,2.0,
